,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18,2018-10-18
close,1090.036816,2937.534079,247.8633575,201.961357,6.99764664,218.4588608,5.50165812,177.18729209999995,141.202523,199.4825386,62.71289375,19.29210012,73.84367817,382.2920024,122.7831797,1207.031422,38.66978556,1317.672018,233.66322,44.2079512,136.80686730000002,27.49501468,51.6628658,5561.935531,30.60292224,597.0815234,150.8598114,88.79087239,28.9859184,12.7666241,12.4068408,119.2735638,59.1846186,22.25438936,141.9157139,987.46305,102.2886087,456.4945504,12.66324972,118.74020790000002,27.22292788,371.1721487,17.40119248,359.3025214,678.7101496,456.4998952,69.62854602,1014.007796,91.99814831,391.4790551,112.918484,97.58396817,201.0567631,206.1393642,108.0249737,33.12282963,69.23104078,505.99508939999987,227.2817082,62.1205756,278.268949,511.3564179,155.8223246,470.4926096,246.562524,256.7195923,437.7040233,358.1673063,135.0916335,133.6261956,290.5199816,85.77098058,484.5313352,142.9154072,235.9411606,213.42294790000003,182.0890184,36.66250968,301.4478334,89.59510205,125.358519,114.92759209999998,77.9931854,46.89893024,103.8662444,102.02764,42.15522444,45.59717928,17.53352088,182.671001,7.28403876,105.0664781,56.31726167,32.84460639,18.3,13.445121036654001,14.503081855145636,112.3425587,461.2879763,169.4712617,321.2249503999999,263.4172835,352.7099086,136.4571992,220.4506239,148.7194419,351.4396184,298.8445191,201.8313792,172.89631359999996,168.4583023,140.85694840000005,73.80541412,30.0155485,41.9106237,36.6981652,125.6457061,27.75958266,151.2832423,12.17303472,30.128986800000003,32.18134503,147.92113369999996,6.86334446,16.33006461,7.17134827,2.34824436,6.39131116,17.94666402,9.69744874,80.10447984,357.5612194,133.354188,105.65539950000002,209.6420331,7.80707298,39.8469664,477.325476,36.33955494,306.9287649,239.1982551,177.59196,242.0584268,49.90611588,181.0864672,6.26822114,253.3935293,101.265626,40.89047336,127.9929637,172.7072284,28.82782848,373.404575,18.98027664,16.2091956,5.87427438,48.996288,421.7416105,2043.139634,30.54101544,33.1727408,1248.337294,48.45511194,18.4611417,353.8332147,90.61145418,149.1977092,19.8941665,13.6022613,36.52496958,115.9268164,30.3215875,67.03161822,434.098321,136.1789896,520.1951403,53.69851368,58.80037768,193.177916,83.02087966,91.73645856,107.91681509999998,4658.372652,58.6431296,225.9472818,272.6376577,68.60996009,662.1144684,112.232847,145.5731862,734.1788928,671.5820754,38.1650612,1733.650978,123.21845,145.1230366,19.12299034,484.184009,271.8182046,71.75626542,198.4452767,73.9410296,772.1691454,166.02704,582.1064375,156.02174019999995,119.5199785,171.0306509,493.88025,319.1219844,1725.358594,71.36898706,45.94597095,6.291912,15.19309008,8.25483192,11.04387828,14.573028400000002,17.62756015,12.773107199999998,34.42594376,99.3235848,4.230180000000002,64.00456650000001,6.5,30.58342245,6.7401906,7.86424036,6.13287756,11.38,28.36716933,8.340297331156716,59.51409247,18.4040277,12.169977,8.55506031,14.653926,3.07125162,32.46491703,9.0768528,4.39616184,21.71509074,16.514557999999994,5.50164784,8.206369279656862,146.8444929,8.182728941129032,9.831259199999998,48.04691178,42.140538,9.25077848,8.40710412,9.10301965,5.4934304,8.62,3.49679925,39.98138460000001,167.49919630000005,3.55714545,25.0282696,21.12069012,8.77003392,5.61636,15.84807312,5.554119999999998,9.70512828,9.63497255,14.50633584,11.03672512,5.1699518,10.71303838,8.237414900000001,10.93640103,35.377526399999994,5.83202375,6.10020879,111.9034584,5.44540736,6.22375222,4.78409566,3.55622762,63.6654549,11.39536387,5.52935328,6.06329152,6.66178128,6.73761922,11.3327816,7.88575086,82.30119432,65.40214095,74.297087,76.3,44.02873125,269.45557010000005,48.162938,75.12696399,33.89205402,194.83928280000003,11.67192222
est,-0.0029138983227312565,-0.08027444034814835,-0.043562162667512894,-0.006912778131663799,-0.07888133823871613,-0.028798921033740044,-0.08898285776376724,-0.020313559100031853,-0.03683781996369362,-0.02144462987780571,-0.0001656787353567779,-0.03194177523255348,-0.007461318280547856,-0.016333213075995445,-0.08254314213991165,0.018834810703992844,-0.17469631135463715,0.04255517199635506,-0.05075548589229584,-0.03820563480257988,-0.04747941717505455,0.022617002949118614,-0.04294195398688316,-0.04365704581141472,-0.0062355035915970785,-0.10446060448884964,0.0022511705756187443,-0.0591563880443573,-0.05804906412959099,-0.030570250004529963,0.003806002903729677,-0.022164903581142426,-0.10569969564676283,-0.004296599421650171,-0.0407383069396019,-0.008547971956431866,-0.10459840297698976,-0.02162155881524086,-0.07571877539157867,-0.02345239371061325,-0.08297591656446457,-0.002872343640774489,-0.11916451901197432,-0.06383340805768968,-0.07980496436357498,0.037443287670612335,0.034592244774103165,0.0006275324267335236,-0.017043404281139374,-0.0014139331178739667,-0.02832832373678684,-0.039575256407260895,0.01657467894256115,-0.010366074740886688,-0.02691514976322651,-0.058006424456834786,0.02257980406284333,-0.04340635985136032,-0.0221511758863926,-0.03957369551062584,-0.004883548710495234,-0.02060520276427269,0.03132772073149681,-0.015818115323781967,0.07469580322504044,0.02451021410524845,-0.011220773681998251,-0.013475296087563038,-0.10440265387296677,-0.0726160854101181,-0.00627351738512516,0.07162267714738846,-0.11792834848165512,0.0030539261642843485,0.0399351604282856,-0.04760217294096947,0.028663620352745056,-0.03368677571415901,-0.038455817848443985,-0.10115996748209,0.07486502081155777,-0.0022265624720603228,0.038817740976810455,-0.020495146512985236,-0.003459358355030417,0.020115137100219727,-0.007522391621023416,-0.06241227686405184,0.008029641583561897,-0.016399618238210678,0.02261398918926716,0.05580798909068108,-0.036616142839193344,0.0585743673145771,-0.003382285358384252,0.07590742409229279,-0.04074148088693619,-0.06480853259563446,-0.11935625225305554,0.034314848482608795,0.0016894483705982564,0.015479370020329954,0.02744404599070549,-0.005130071192979814,-0.06015048921108247,-0.10848692059516908,-0.014161122031509875,0.07484719157218933,-0.09629766643047333,0.01869894564151764,0.021916508674621586,0.05229109153151512,-0.04184462875127792,0.020666323602199558,-0.10315220803022383,0.009172919206321241,-0.030748683959245682,-0.007131890393793583,-0.023027883842587468,-0.007035636343061924,-0.05871870741248132,-0.01686594821512699,-0.030822938308119774,-0.014768695458769797,-0.04640471562743187,-0.029333349317312237,0.011750959791243076,-0.07987657189369203,-0.04935527592897415,0.007422767113894223,-0.04419847577810288,-0.1309223175048828,-0.060415070503950126,-0.012295017018914223,-0.0015322710387408733,0.0043758200481534,-0.051121599972248084,-0.007710928097367286,-0.0793575644493103,-0.008744257502257824,0.017741655930876732,-0.04394293203949928,-0.04897751659154892,-0.03713462874293327,-0.05345483869314194,-0.0196423027664423,-0.0342283770442009,-0.0036403748672455545,-0.03813696652650833,-0.051072414964437485,-0.02788916602730751,-0.06540030241012572,-0.028936693444848064,-0.10929692536592484,-0.045329205691814416,-0.010566678829491137,-0.1054208129644394,0.03061078861355782,-0.01858856901526451,-0.15134134888648987,0.03474755957722664,-0.0370626337826252,-0.027318995445966717,-0.09960311651229856,0.03665104880928993,-0.17380405962467196,-0.0013279331615194678,-0.05136789008975029,-0.0606382004916668,-0.0537930503487587,-0.0028073599096387625,-0.05170118063688278,-0.0358474999666214,-0.07166016101837157,0.010234244167804718,-0.07739134132862091,0.07548660784959793,-0.06988169997930528,-0.02863419614732265,-0.0896543487906456,-0.007217038422822951,-0.07211943715810776,-0.019303612411022183,-0.08352908492088318,-0.01827424205839634,-0.09871241450309752,-0.03206343203783035,0.008544290438294409,0.003706173039972782,-0.08868736773729324,0.053795445710420615,-0.06579771637916565,-0.00888892076909542,0.02351661771535873,-0.04810295253992082,-0.008280958980321884,-0.08223069459199905,-0.011175847612321377,-0.008779394440352917,-0.06323173642158507,-0.06851989030838013,-0.03850675001740456,-0.0928865298628807,-0.0032088723964989185,-0.113004170358181,0.0027241089846938853,-0.020647244527935985,-0.06994210183620453,0.013509467244148254,-0.08205223828554152,-0.014530383981764315,-0.030916232615709305,-0.02951947785913944,0.0025850567035377026,-0.007303706370294094,-0.053132008761167526,0.01398636680096388,-0.04734046757221222,-0.0415332280099392,0.006487010978162289,-0.020071087405085564,-0.02641216106712818,-0.013700519688427448,-0.034145239740610116,-0.017962878569960594,-0.05909020081162453,-0.09960074722766876,-0.03851597756147385,-0.08079984784126283,0.036407992243766785,-0.010291799902915956,0.01834714040160179,-0.04772048443555832,-0.03870104253292084,-0.12209045141935347,0.01465738099068403,-0.044717371463775635,0.0021240953356027607,0.01900693401694297,-0.04632199928164482,-0.019614292308688164,0.03271731361746788,0.020692182704806328,-0.038257304579019547,0.005956756882369518,-0.021877756342291832,0.0002606012276373804,-0.04530299082398415,-0.04307011887431145,-0.029279010370373726,-0.004828792065382004,-0.02056070417165756,0.03251628950238228,-0.04134949296712875,-0.04420929029583931,-0.01842291280627251,-0.06764937937259674,-0.07101953774690628,-0.0063540320843458176,0.005743684712797403,-0.013661731034517288,-0.09364163875579834,-0.09186076372861862,-0.038028236478567116,-0.028178229928016663,-0.035439979285001755,-0.0146943936124444,-0.1065845713019371,-0.06480223685503006,-0.10578174889087676,0.002233805134892464,-0.03636686131358147,-0.061878062784671777,-0.01069949846714735,-0.046070922166109085,0.01255414541810751,-0.10388883203268053,-0.07488764822483063,0.017427545040845868,-0.003910884726792574,0.02049253322184086,-0.04172805324196816,-0.062033794820308685,0.08661628514528275,0.01582181639969349,-0.05317577347159386,-0.01185873709619045,0.033663101494312286,-0.024655235931277275,0.0331653505563736,-0.014334567822515963,0.05049213394522667,0.002707448787987232,-0.003665725933387876,0.027543168514966958,-0.03793342411518097,0.003370999125763774,0.009632174856960772,0.10077418386936188,-0.05662951245903969
pre_month_close,1070.5911640000004,3329.8710730000007,275.4914388,229.4839219,8.17397517,253.9584257,6.19466904,177.18729209999995,141.01914309999995,230.0401048,66.8559175,23.73018888,75.51718929,440.8060844,147.56510590000005,1260.654347,49.55860098,1300.509865,248.25465,51.6018867,166.67945869999997,22.04274548,55.08948445,5416.906567,32.392206,843.82686,185.5544703,106.42787659999998,28.5942168,15.60900456,14.701104,137.44382019999998,71.39989148,26.78070584,156.2516763,1038.538725,105.7162693,469.0388403,11.96818284,148.0614072,33.73040068,447.32837310000014,18.17267392,384.5073251,728.4836156,507.1093585,75.90585266,1059.074809,94.63383878,379.9862395,129.04969599999998,95.98124688,270.0943264,246.5258519,106.1965212,32.49634536,79.58524336,610.1654679999998,253.85636780000004,80.79106904,393.8349273,655.1754105,191.7813226,470.4926096,316.1058,298.00273460000005,433.2674288,493.1090118,136.18218149999998,132.286154,356.6383222,117.6382949,586.8435304,170.2996397,283.4967752,258.8140901,224.4533792,34.36973808,322.7101394,105.7787658,136.8015018,119.3618815,78.11646230000002,42.16638336,103.1510216,102.02764,51.02242879999999,59.00421016,18.62317472,177.81797319999995,8.648453100000001,105.0664781,61.29223119,43.9007058,28.771780077403523,13.445121036654001,14.503081855145636,142.3946206,516.1951418000001,230.1634491,383.1449741,292.5236913,350.1353837,180.6744058,259.8528894,186.81220080000003,407.4592851000001,378.9713902,296.0097998,175.47437309999995,194.7082344,149.1971625,86.53333548,34.79785774,58.46448960000001,34.38120477,123.54955590000002,30.08566187,164.496016,12.421464,32.95928556,31.83944495,144.0156252,6.8906341,16.28464023,7.74692286,2.85652236,6.22178036,19.13154636,10.57596326,83.77503552,400.2828196,130.964328,118.1438617,229.1116028,8.726468800000001,48.0507536,566.4262315000002,39.96756288,330.03093,257.6834371,200.2677831,248.833599,56.93756176,182.4553714,7.22834254,314.2478808,115.2981485,42.90620092,134.26433390000003,173.94261630000003,28.664034,399.644558,20.7179076,16.58325396,6.29157256,54.98472320000001,545.8930806,2385.505565,39.30439032,35.449584,1447.916929,51.4274571,21.39904382,411.6927341,104.0615849,174.78475590000005,21.8820055,16.248435,41.34112036,129.4416007,35.59893250000001,72.30548556,433.3032692,161.2645929,617.3068653,67.76241012,60.85390784,242.0982413,78.92252876,102.9891784,129.6446289,4658.805358,70.80491500000002,245.4100675,260.1945372,75.6222005,770.6037871,128.8237896,142.630983,864.9716222999998,774.8067277000001,44.35027520000001,1813.401904,150.2279342,149.0152253,19.58165985,541.2743623,321.8844894,84.65825403,217.6021227,123.2896471,857.0182122000001,184.4690391,638.2746025,196.766548,155.7475368,185.7285974,567.633034,330.0946600000001,1654.068735,78.355704,45.82747715,6.52261544,15.84655632,9.11648319,13.11202028,15.79860464,19.28936538,13.83193056,35.01108728,99.1679052,4.723701,65.4268902,7.92,29.2188078,9.4952308,8.1121104,7.1989871,14.69,35.20874376,8.340297331156716,58.16420645,18.4040277,11.9790754,10.54049958,15.48974252,3.92437707,36.15140944,8.657241599999999,4.88014296,22.17466938,16.102386300000006,5.36709667,8.206369279656862,145.03392019999995,8.182728941129032,9.63814518,47.1296238,55.88465025,10.24446824,8.12231062,9.08600466,6.67914112,9.492432013500004,3.955563,38.9849638,200.9990356,3.767693,25.2555818,24.19787676,9.05293824,6.08439,16.55394994,5.62076944,9.47970354,11.07124175,14.28764736,12.45024012,5.073958,13.19470504,9.1196287,10.65839056,36.51991704,6.66372105,7.12891179,132.42987309999998,5.74536624,6.29942094,5.60038844,3.97338042,66.5029125,11.14138102,6.00060498,6.04606626,7.01505756,7.57713088,12.25193808,8.08360124,96.61269272,68.13622385,81.65183,90.44,54.18301464,260.44923700000004,66.60651014,85.01076379,37.73648439,261.0801366,14.02592334
prediction,-0.05944127479608308,-0.8274863855896493,-0.6075433213102324,-0.13555917264498918,-0.8219150559543519,-0.45863237487365005,-0.8587275331210467,-0.35012617634460375,-0.545338854354837,-0.3657017740498375,-0.003473495103441415,-0.494255624036955,-0.14553108600917053,-0.2923668572351631,-0.8362057403193411,0.47971909554136594,-0.9822626183993083,1.3992747818081868,-0.6650808235288163,-0.5587072466106968,-0.6399508834380927,0.5994593161200406,-0.6021642072150781,-0.6083601153366096,-0.12309405295504017,-0.9014223167892803,0.04835414165019203,-0.7221142663999707,-0.7151646278910344,-0.4789934191760078,0.08304264762338764,-0.37543443122192166,-0.9042473174755243,-0.08645531027201869,-0.5824782176804613,-0.1649628161261647,-0.9017403624965854,-0.36810581141735044,-0.8086243174051915,-0.39247827054624906,-0.8378206438464592,-0.05861775599526731,-0.9303708965288118,-0.7497258959243189,-0.8256276561890005,1.1639721516815928,1.04246014865104,0.013261207920374218,-0.3030186382230806,-0.029276497798492396,-0.4530968655293375,-0.571717679553706,0.41229378535284145,-0.1965366523688401,-0.43614824765583904,-0.7148937363758339,0.5982379343078719,-0.6061985848237508,-0.3752502733459592,-0.5717030622488698,-0.09769777692541537,-0.35417679581875083,0.9113072825845858,-0.28454436970135033,3.539380747894726,0.6628081476045997,-0.21098364621636245,-0.2479144129417432,-0.9012882712644045,-0.7946707904984853,-0.12379820091518356,3.274445681080688,-0.9282897627939708,0.06612941465254574,1.2757864268969392,-0.6409240540295094,0.810260180030298,-0.5130589547744582,-0.5611115675453947,-0.8935046752349631,3.554414238039592,-0.0457312550526906,1.2249820740007142,-0.35265106485461317,-0.07018763493269553,0.5192632435395328,-0.1466345358228316,-0.7416252006517716,0.18287638478998858,-0.29336936590692786,0.5993603297662491,2.1281230026621083,-0.5431362907712594,2.3048278829734454,-0.068676310295124,3.648073533728768,-0.582507227610221,-0.7551437184277042,-0.9306884871351663,1.03099075923459,0.03608426771076689,0.3806805385100127,0.7657197514007581,-0.10238028372030894,-0.728215482095917,-0.9103227873359349,-0.25881816876964836,3.5528280353851063,-0.8807293795814788,0.4755807805205008,0.5766079658060068,1.9164448557656808,-0.5924745750868222,0.5365952949132025,-0.8983532240374511,0.21137148155811447,-0.48100355078115065,-0.13955563677519256,-0.38690815154561287,-0.13780219792228843,-0.7193868777722955,-0.30037147207108217,-0.48183787816324186,-0.26835189177508467,-0.6313230464467813,-0.46485399930151483,0.278044942713082,-0.8259123891765696,-0.6545516777394143,0.1680111527246424,-0.612990082922942,-0.94749138667363,-0.7298177040564062,-0.22879090848189632,-0.03168939428114981,0.09602692375383204,-0.667783060777825,-0.1500323860036099,-0.8238385924088925,-0.16842764782698083,0.4467335719554031,-0.6108113677367835,-0.6516574944896908,-0.5482720881716223,-0.6845226860829092,-0.34071100928616305,-0.5187583024985734,-0.07372800864242313,-0.5580451366748486,-0.6674212442653961,-0.4478825813217502,-0.7583769514970976,-0.46024283031857904,-0.9120183746392606,-0.6224918173283229,-0.19994992100465891,-0.9036182991483344,0.8835986599682593,-0.3256686441806753,-0.9681291315948308,1.0489087958723227,-0.5475622530061164,-0.44104206289732983,-0.8895632428530924,1.1295332217721188,-0.981855534038641,-0.027519376945867924,-0.6695891975372245,-0.731161913859142,-0.6868814453229076,-0.057328550236039444,-0.6720184551993814,-0.5354201537885179,-0.7901800624067252,0.2384081519870811,-0.8157667349322162,3.6100447777260465,-0.7815751869344013,-0.456700858443032,-0.8608981968330116,-0.1411039282399571,-0.7923491934174853,-0.33591130522552093,-0.8398627288028242,-0.3211186093686903,-0.8872462044481666,-0.4955886530279494,0.195623595363418,0.08078298454975319,-0.8577621441069765,2.0052642386654256,-0.7605254223723671,-0.17097247448167752,0.6292692561869011,-0.6448681900274476,-0.16022742548024926,-0.8350303309755042,-0.21023046109911037,-0.16904643826913057,-0.7463262381713459,-0.7747601141271662,-0.5615995074422779,-0.8709096029616654,-0.06526729654786001,-0.9193966417640181,0.0587918689148923,-0.3547587243596886,-0.7818728681030953,0.32551304478608345,-0.8343553889739665,-0.26462643841143774,-0.48288432934331604,-0.46700480849441495,0.05571276455531904,-0.14267713216536826,-0.6822554237768543,0.3386727824739373,-0.6388463022605257,-0.5896841537963771,0.14543820822425468,-0.3467400939605393,-0.4299959383324943,-0.2515119170689676,-0.5178875836630705,-0.31658265491622495,-0.7217034498995369,-0.8895571400743864,-0.5616878537771943,-0.8295441781450528,1.11907252682763,-0.19526935513791066,0.4649163026600944,-0.6418596206973265,-0.5634561264874045,-0.9350700264853815,0.3573998523738373,-0.6173783969024343,0.04556634476552568,0.48497767405586023,-0.6306508916727406,-0.3403153194895999,0.9661227099448972,0.5374130410327567,-0.5592048314602716,0.13283211820723873,-0.371571542581541,0.005486911076601819,-0.6222740669290683,-0.6032815140260804,-0.46422452815380655,-0.09665456333261313,-0.35356031615423955,0.9581012862494771,-0.5880292023406104,-0.6130820286791798,-0.32327432258445743,-0.7702981202253631,-0.7871183705438702,-0.12528783604600735,0.12780391705693983,-0.25089351505547985,-0.8731475510940635,-0.867809198311077,-0.5569948095953401,-0.45132004348566457,-0.5312790104798382,-0.26719228562310593,-0.9062173691225264,-0.7551091001010068,-0.9044316424574064,0.04797275867551809,-0.5406473140394068,-0.7385159964559921,-0.2022022371084986,-0.628603478493029,0.2995212222075827,-0.9000921330857686,-0.8049777914311511,0.43738568475095274,-0.07899480019466154,0.5311102343141554,-0.5914320803676322,-0.7394260402711799,4.722692364366705,0.3904912202082984,-0.6825636938346284,-0.2216055428421576,1.0042841211440847,-0.40800056151504016,0.9841133875985888,-0.26155178772424514,1.8135128314603515,0.0584225033507646,-0.07422280607532761,0.7693005037227965,-0.5560769867656937,0.07322907485706054,0.22300103802778293,6.5103979305947695,-0.7060130868583334
