,features_importance
alpha84t-16,0.0
alpha84t-15,6.345809992951129e-06
alpha84t-14,0.0
alpha84t-13,0.0
alpha84t-12,0.0
alpha84t-11,0.0
alpha84t-10,0.0
alpha84t-1,0.0
alpha84t,0.0
alpha83t-9,0.0
alpha83t-8,0.0
alpha83t-7,0.0
alpha83t-6,9.308452461028776e-07
alpha83t-5,0.0
alpha83t-4,0.0004140114114032378
alpha83t-3,0.0
alpha83t-20,0.0
alpha83t-2,0.0
alpha83t-19,0.0
alpha83t-18,0.0
alpha83t-17,5.0365035862285414e-05
alpha83t-16,0.0
alpha83t-15,0.0
alpha83t-14,2.5771169245731832e-06
alpha83t-13,2.820647190352789e-06
alpha83t-12,0.0
alpha83t-11,1.646428266991478e-05
alpha83t-10,0.0
alpha83t-1,0.0
alpha83t,0.0
alpha82t-9,5.2876983976375585e-06
alpha82t-8,0.0
alpha82t-7,0.0
alpha82t-6,0.0
alpha82t-5,0.0
alpha82t-4,0.0
alpha82t-3,0.0
alpha82t-20,9.345235927673625e-06
alpha82t-2,0.0
alpha82t-19,0.0
alpha82t-18,2.721967000272364e-05
alpha82t-17,0.0
alpha82t-16,0.0
alpha82t-15,1.1994100862017313e-06
alpha82t-14,0.0
alpha82t-13,0.0
alpha82t-12,0.0
alpha82t-11,0.0
alpha82t-10,0.0
alpha82t-1,0.0
alpha82t,0.0
alpha81t-9,0.0
alpha81t-8,0.0
alpha81t-7,0.0
alpha81t-6,0.0
alpha81t-5,9.872413087155463e-06
alpha81t-4,0.0
alpha81t-3,0.0
alpha81t-20,0.0
alpha81t-2,0.0
alpha81t-19,0.0
alpha81t-18,0.0
alpha81t-17,3.345945959728523e-06
alpha81t-16,0.0
alpha81t-15,0.0
alpha81t-14,0.0
alpha81t-13,0.0
alpha81t-12,0.0
alpha81t-11,0.0
alpha81t-10,5.401904297541718e-05
alpha81t-1,0.0
alpha81t,4.231477205587615e-06
alpha80t-9,3.7529282197727436e-06
alpha80t-8,0.0
alpha80t-7,0.0
alpha80t-6,0.0
alpha80t-5,0.0
alpha80t-4,0.0
alpha80t-3,0.0
alpha80t-20,0.0
alpha80t-2,6.8168125792008795e-06
alpha80t-19,2.8491798733872464e-06
alpha80t-18,3.986180564887992e-06
alpha80t-17,0.0
alpha80t-16,4.243155103748851e-05
alpha80t-15,0.0
alpha80t-14,0.0
alpha80t-13,1.2261931333388087e-05
alpha80t-12,1.6518921776485165e-06
alpha80t-11,0.0
alpha80t-10,0.0
alpha80t-1,4.2378358719824075e-05
alpha80t,7.280658206464521e-05
alpha79t-9,3.710122198250497e-05
