,features_importance
alpha84t-15,0.0
alpha84t-14,0.00011154856904920294
alpha84t-13,0.0
alpha84t-12,0.0
alpha84t-11,0.0
alpha84t-10,0.0
alpha84t-1,0.0
alpha84t,0.0
alpha83t-9,0.0
alpha83t-8,0.0
alpha83t-7,0.0
alpha83t-6,0.0
alpha83t-5,0.0
alpha83t-4,0.0
alpha83t-3,0.0
alpha83t-20,0.0
alpha83t-2,2.7068143224002677e-06
alpha83t-19,0.0
alpha83t-18,0.0
alpha83t-17,0.0
alpha83t-16,2.874167193568025e-06
alpha83t-15,0.0
alpha83t-14,0.0
alpha83t-13,0.0
alpha83t-12,0.0
alpha83t-11,0.0
alpha83t-10,0.0
alpha83t-1,0.0
alpha83t,3.837831954334894e-05
alpha82t-9,0.0
alpha82t-8,0.0
alpha82t-7,0.0
alpha82t-6,0.0
alpha82t-5,0.0
alpha82t-4,0.0
alpha82t-3,0.0
alpha82t-20,2.224915836754508e-05
alpha82t-2,0.0
alpha82t-19,0.0
alpha82t-18,0.0
alpha82t-17,0.0
alpha82t-16,0.0
alpha82t-15,0.0
alpha82t-14,0.0
alpha82t-13,0.0
alpha82t-12,0.0
alpha82t-11,0.0
alpha82t-10,0.0
alpha82t-1,0.0
alpha82t,0.0
alpha81t-9,0.0
alpha81t-8,8.038007460990689e-05
alpha81t-7,0.0
alpha81t-6,0.0
alpha81t-5,0.0
alpha81t-4,0.0
alpha81t-3,0.0
alpha81t-20,1.4008733550277562e-06
alpha81t-2,0.0
alpha81t-19,0.0
alpha81t-18,1.0906425657976016e-05
alpha81t-17,0.0
alpha81t-16,0.0
alpha81t-15,0.0
alpha81t-14,0.0
alpha81t-13,0.0
alpha81t-12,0.0
alpha81t-11,0.0
alpha81t-10,0.0
alpha81t-1,3.290459063786337e-05
alpha81t,0.0
alpha80t-9,0.0
alpha80t-8,7.112705060277803e-06
alpha80t-7,0.0
alpha80t-6,0.0
alpha80t-5,0.0
alpha80t-4,0.0
alpha80t-3,0.0
alpha80t-20,0.0
alpha80t-2,0.0
alpha80t-19,0.0
alpha80t-18,0.0
alpha80t-17,0.0
alpha80t-16,8.97396230777762e-06
alpha80t-15,0.0
alpha80t-14,0.0
alpha80t-13,0.0
alpha80t-12,0.00015585034606536874
alpha80t-11,0.0
alpha80t-10,0.0
alpha80t-1,0.0
alpha80t,0.0
alpha79t-9,0.0
alpha79t-8,0.0
alpha79t-7,0.0
alpha79t-6,0.0
alpha79t-5,0.0
alpha79t-4,0.0
alpha79t-3,0.0
alpha79t-20,0.0
alpha79t-2,0.0
alpha79t-19,3.0866864760336866e-06
alpha79t-18,0.0
alpha79t-17,0.0
alpha79t-16,0.0
alpha79t-15,0.0
alpha79t-14,0.0
alpha79t-13,0.0
alpha79t-12,0.0
alpha79t-11,0.0
alpha79t-10,0.0
alpha79t-1,0.0
alpha79t,0.0
alpha78t-9,0.0
alpha78t-8,0.0
alpha78t-7,0.0
alpha78t-6,0.0
alpha78t-5,0.0
alpha78t-4,0.0
alpha78t-3,0.0
alpha78t-20,0.0
alpha78t-2,7.686076732801635e-06
alpha78t-19,0.0
alpha78t-18,0.0
alpha78t-17,0.0
alpha78t-16,0.0
alpha78t-15,0.0
alpha78t-14,0.0
alpha78t-13,0.0
alpha78t-12,0.0
alpha78t-11,0.0
alpha78t-10,0.0
alpha78t-1,0.0
alpha78t,0.0
alpha76t-9,0.0
alpha76t-8,0.0
alpha76t-7,0.0
alpha76t-6,0.0
alpha76t-5,0.0
alpha76t-4,0.0
alpha76t-3,0.0
alpha76t-20,0.0
alpha76t-2,0.0
alpha76t-19,0.0
alpha76t-18,0.0
alpha76t-17,2.9002972246768684e-06
alpha76t-16,0.0
alpha76t-15,5.59503102754609e-06
alpha76t-14,0.0
alpha76t-13,0.0
alpha76t-12,0.0
alpha76t-11,0.0
alpha76t-10,0.0
alpha76t-1,0.0
alpha76t,0.0
alpha72t-9,0.0
alpha72t-8,0.0
alpha72t-7,0.0
alpha72t-6,0.0
alpha72t-5,1.9474281271494766e-06
alpha72t-4,0.0
alpha72t-3,0.0
alpha72t-20,0.0
alpha72t-2,0.0
alpha72t-19,0.0
alpha72t-18,0.0
alpha72t-17,0.0
alpha72t-16,0.0
alpha72t-15,0.0
alpha72t-14,0.0
alpha72t-13,0.0
alpha72t-12,0.0
alpha72t-11,0.0
alpha72t-10,0.0
alpha72t-1,0.0
alpha72t,0.0
alpha71t-9,0.0
alpha71t-8,0.0
alpha71t-7,0.0
alpha71t-6,0.0
alpha71t-5,0.0
alpha71t-4,0.0
alpha71t-3,5.032156414482665e-05
alpha71t-20,0.0
alpha71t-2,0.0
alpha71t-19,0.0
alpha71t-18,0.0
alpha71t-17,1.4799288181186565e-06
alpha71t-16,4.0178070829844726e-07
alpha71t-15,0.0
alpha71t-14,0.0
alpha71t-13,0.0
alpha71t-12,6.193381568593535e-05
alpha71t-11,0.0
alpha71t-10,0.0
alpha71t-1,0.0
alpha71t,0.0
alpha70t-9,0.0
alpha70t-8,0.0
alpha70t-7,2.5529674617657124e-07
alpha70t-6,0.0
alpha70t-5,0.0
alpha70t-4,1.2692196266919852e-05
alpha70t-3,0.0
alpha70t-20,0.0
alpha70t-2,0.0
alpha70t-19,0.0
alpha70t-18,0.0
alpha70t-17,0.0
alpha70t-16,3.603852106607721e-05
alpha70t-15,0.0
alpha70t-14,0.0
alpha70t-13,0.0
alpha70t-12,0.0
alpha70t-11,2.947264999683692e-05
alpha70t-10,0.0
alpha70t-1,4.3900662966483235e-06
alpha70t,0.0
alpha68t-9,0.0
alpha68t-8,0.0
alpha68t-7,0.0
alpha68t-6,0.0
alpha68t-5,0.0
alpha68t-4,0.00043568577485875686
alpha68t-3,0.0
alpha68t-20,0.0
alpha68t-2,0.0
alpha68t-19,0.0
alpha68t-18,0.0
alpha68t-17,0.0
alpha68t-16,0.0
alpha68t-15,0.0
alpha68t-14,0.0
alpha68t-13,0.0
alpha68t-12,0.0
alpha68t-11,0.0
alpha68t-10,0.0
alpha68t-1,0.0
alpha68t,0.0
alpha67t-9,0.0
alpha67t-8,5.380408925256535e-05
alpha67t-7,0.0
alpha67t-6,0.0
alpha67t-5,0.0
alpha67t-4,0.0002649672321860918
alpha67t-3,0.0
alpha67t-20,0.0
alpha67t-2,0.0007644365978331269
alpha67t-19,0.0
alpha67t-18,5.13340284977025e-06
alpha67t-17,0.0
alpha67t-16,1.999211128744863e-06
alpha67t-15,0.0
alpha67t-14,0.0
alpha67t-13,0.0
alpha67t-12,0.0
alpha67t-11,0.0
alpha67t-10,0.0
alpha67t-1,3.317719917532702e-06
alpha67t,0.0
alpha66t-9,0.0
alpha66t-8,0.0
alpha66t-7,0.0
alpha66t-6,0.0
alpha66t-5,0.0
alpha66t-4,0.0
alpha66t-3,0.0
alpha66t-20,0.0
alpha66t-2,0.0
alpha66t-19,0.0
alpha66t-18,0.0
alpha66t-17,0.0
alpha66t-16,0.0
alpha66t-15,0.0
alpha66t-14,0.0
alpha66t-13,0.0
alpha66t-12,0.0
alpha66t-11,5.317622313924495e-05
alpha66t-10,0.0
alpha66t-1,0.0002477182487021651
alpha66t,0.0024131615949739265
alpha65t-9,0.0
alpha65t-8,0.0
alpha65t-7,0.0
alpha65t-6,0.0
alpha65t-5,0.0
alpha65t-4,0.0
alpha65t-3,7.255264899808384e-05
alpha65t-20,0.0
alpha65t-2,0.0
alpha65t-19,0.0
alpha65t-18,0.0
alpha65t-17,0.0
alpha65t-16,0.0
alpha65t-15,0.0
alpha65t-14,0.0
alpha65t-13,0.0
alpha65t-12,0.0
