,features_importance
alpha85t-13,0.0
alpha85t-12,0.0
alpha85t-11,0.0
alpha85t-10,0.0
alpha85t-1,0.0
alpha85t,0.0
alpha84t-9,0.0
alpha84t-8,0.0
alpha84t-7,0.0
alpha84t-6,0.0
alpha84t-5,0.0
alpha84t-4,0.0
alpha84t-3,0.0
alpha84t-20,0.0
alpha84t-2,0.0
alpha84t-19,0.0
alpha84t-18,0.0
alpha84t-17,0.0
alpha84t-16,0.0
alpha84t-15,0.0
alpha84t-14,0.0
alpha84t-13,0.0
alpha84t-12,0.0
alpha84t-11,0.0
alpha84t-10,0.0
alpha84t-1,0.0
alpha84t,0.0
alpha83t-9,0.0
alpha83t-8,0.0
alpha83t-7,0.0
alpha83t-6,0.0011795147
alpha83t-5,0.0
alpha83t-4,0.0003649128
alpha83t-3,0.0
alpha83t-20,0.0
alpha83t-2,0.0
alpha83t-19,0.0
alpha83t-18,0.0
alpha83t-17,0.0
alpha83t-16,0.0
alpha83t-15,0.0
alpha83t-14,0.0
alpha83t-13,0.0
alpha83t-12,0.0
alpha83t-11,0.0
alpha83t-10,0.0
alpha83t-1,0.0
alpha83t,0.0
alpha82t-9,0.0
alpha82t-8,0.0
alpha82t-7,0.0
alpha82t-6,0.0
alpha82t-5,0.0
alpha82t-4,0.0
alpha82t-3,0.0
alpha82t-20,0.0
alpha82t-2,0.013055888
alpha82t-19,0.0
alpha82t-18,0.0
alpha82t-17,0.0
alpha82t-16,0.0
alpha82t-15,0.0
alpha82t-14,0.0
alpha82t-13,0.0
alpha82t-12,0.0
alpha82t-11,0.0
alpha82t-10,0.0
alpha82t-1,0.0
alpha82t,0.0
alpha81t-9,0.0
alpha81t-8,0.0
alpha81t-7,0.0
alpha81t-6,0.0
alpha81t-5,0.0
alpha81t-4,0.0
alpha81t-3,0.0
alpha81t-20,0.0
alpha81t-2,0.0
alpha81t-19,0.0
alpha81t-18,0.0
alpha81t-17,0.0
alpha81t-16,0.0
alpha81t-15,0.0
alpha81t-14,0.0
alpha81t-13,0.0
alpha81t-12,0.0
alpha81t-11,0.0
alpha81t-10,0.0
alpha81t-1,0.0
alpha81t,0.0
alpha80t-9,0.0
alpha80t-8,0.0
alpha80t-7,0.0
alpha80t-6,0.0
alpha80t-5,0.0
alpha80t-4,0.0
alpha80t-3,0.0
alpha80t-20,0.0
alpha80t-2,0.0
alpha80t-19,0.0
alpha80t-18,0.0
alpha80t-17,0.0
alpha80t-16,0.0
alpha80t-15,0.0
alpha80t-14,0.0
alpha80t-13,0.0
alpha80t-12,0.0
alpha80t-11,0.0
alpha80t-10,0.0
alpha80t-1,0.0
alpha80t,0.0
alpha79t-9,0.0
alpha79t-8,0.0
alpha79t-7,0.0
alpha79t-6,0.0
alpha79t-5,0.0
alpha79t-4,0.0
alpha79t-3,0.0
alpha79t-20,0.0
alpha79t-2,0.0
alpha79t-19,0.0011832905
alpha79t-18,0.0
alpha79t-17,0.0
alpha79t-16,0.0
alpha79t-15,0.0
alpha79t-14,0.0
alpha79t-13,0.0
alpha79t-12,0.0
alpha79t-11,0.0
alpha79t-10,0.0
alpha79t-1,0.0
alpha79t,0.0
alpha78t-9,0.0
alpha78t-8,0.0
alpha78t-7,0.0
