,features_importance
alpha87t-9,2.3319637173711693e-05
alpha87t-8,7.646257415492101e-07
alpha87t-7,7.122468765947745e-07
alpha87t-6,3.7192540797352746e-07
alpha87t-5,7.813308921599682e-06
alpha87t-4,1.4259363546005718e-05
alpha87t-3,1.5577966222139827e-06
alpha87t-20,3.5494072974104382e-06
alpha87t-2,6.7752101728199906e-06
alpha87t-19,9.092553255408968e-07
alpha87t-18,0.0
alpha87t-17,4.1512110167604726e-05
alpha87t-16,4.904663110319065e-06
alpha87t-15,4.012817570637588e-06
alpha87t-14,2.8107851893904663e-06
alpha87t-13,1.0632090045966632e-06
alpha87t-12,1.9822921903280567e-05
alpha87t-11,1.1178681385008297e-05
alpha87t-10,4.391261591669446e-06
alpha87t-1,0.0019377601479172615
alpha87t,0.00015153672404070784
alpha86t-9,1.0122252463157451e-05
alpha86t-8,1.2684965843735793e-05
alpha86t-7,1.2570936210681373e-07
alpha86t-6,1.6963970187721698e-06
alpha86t-5,1.1865253150619745e-06
alpha86t-4,4.007272378083786e-06
alpha86t-3,3.482405653888787e-07
alpha86t-20,1.3323507628650335e-05
alpha86t-2,3.808779121238132e-06
alpha86t-19,3.71020165464214e-06
alpha86t-18,3.704972809463629e-05
alpha86t-17,6.331364313089657e-06
alpha86t-16,9.217198564506326e-05
alpha86t-15,6.0506809538468277e-05
alpha86t-14,9.287085484800872e-07
alpha86t-13,6.8519451539274555e-06
alpha86t-12,1.8440888230997475e-06
alpha86t-11,1.7926832475876794e-06
alpha86t-10,2.6194379969248502e-05
alpha86t-1,9.179826053128394e-07
alpha86t,2.420896730327396e-06
alpha85t-9,2.5487849985909017e-06
alpha85t-8,7.7766753618249e-06
alpha85t-7,1.6611762181959033e-06
alpha85t-6,1.5596647002398717e-05
alpha85t-5,3.468215078536977e-05
alpha85t-4,3.1166721583272403e-06
alpha85t-3,2.569851176459069e-06
alpha85t-20,3.380412186393642e-05
alpha85t-2,1.6362527980693125e-05
alpha85t-19,3.7825406238950354e-06
alpha85t-18,2.9452523219525e-06
alpha85t-17,2.3893220676837687e-05
alpha85t-16,8.348962814754988e-06
alpha85t-15,1.1366461275699728e-05
alpha85t-14,0.0
alpha85t-13,1.8298781512346795e-06
alpha85t-12,6.543006699547644e-05
alpha85t-11,7.714724761355319e-07
alpha85t-10,1.727352590422997e-05
alpha85t-1,7.3083106932013445e-06
alpha85t,1.6339329957038832e-06
alpha84t-9,1.954656641974967e-05
alpha84t-8,1.974098512631449e-06
alpha84t-7,8.722935652408417e-07
alpha84t-6,2.473167742987139e-05
alpha84t-5,0.0
alpha84t-4,5.984252774361726e-08
alpha84t-3,2.7433331215430436e-07
alpha84t-20,0.00019638264998895336
alpha84t-2,6.8581411173714676e-06
alpha84t-19,2.0243008683273926e-06
alpha84t-18,1.2327525962768046e-07
alpha84t-17,6.849944716408184e-07
alpha84t-16,4.208807780097428e-06
alpha84t-15,2.563490207652051e-05
alpha84t-14,8.147363376143872e-06
alpha84t-13,0.0
alpha84t-12,2.554827075003647e-05
alpha84t-11,2.9569840074200155e-07
alpha84t-10,5.455992102530007e-07
alpha84t-1,4.936460516729983e-06
alpha84t,0.0
alpha83t-9,0.0
